country,sector,winner,loser,rationale
Grenada,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 52.1% forest cover) relative to agricultural developments (Avg: 41.7%).
Grenada,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 0.6%) relative to coal power assets (Avg: 0.0%).
Guatemala,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 37.3% forest cover) relative to agricultural developments (Avg: 35.8%).
Guatemala,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 62.4%) relative to coal power assets (Avg: 12.3%).
Guinea,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 58.8% of land) over standing forestry infrastructure (Avg: 27.3%).
Guinea,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 66.4%) relative to coal power assets (Avg: 0.0%).
Guinea-Bissau,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 74.6% forest cover) relative to agricultural developments (Avg: 22.1%).
Guinea-Bissau,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 1.6%) relative to coal power assets (Avg: 0.0%).
Guyana,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 94.1% forest cover) relative to agricultural developments (Avg: 5.7%).
Guyana,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 6.8%) relative to coal power assets (Avg: 0.0%).
Haiti,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 62.1% of land) over standing forestry infrastructure (Avg: 13.5%).
Haiti,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 38.9%) relative to coal power assets (Avg: 0.0%).
Heavily indebted poor countries (HIPC),Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 35.1% of land) over standing forestry infrastructure (Avg: 30.9%).
Heavily indebted poor countries (HIPC),Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 75.6%) relative to coal power assets (Avg: 0.6%).
Honduras,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 59.5% forest cover) relative to agricultural developments (Avg: 29.0%).
Honduras,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 56.2%) relative to coal power assets (Avg: 0.3%).
Hungary,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 68.8% of land) over standing forestry infrastructure (Avg: 21.8%).
Hungary,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 20.9%) over renewable infrastructures (Avg: 5.5%).
IBRD only,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 36.8% of land) over standing forestry infrastructure (Avg: 34.2%).
IBRD only,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 52.1%) over renewable infrastructures (Avg: 22.7%).
IDA & IBRD total,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 36.6% of land) over standing forestry infrastructure (Avg: 33.0%).
IDA & IBRD total,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 50.5%) over renewable infrastructures (Avg: 23.8%).
IDA blend,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 41.0% of land) over standing forestry infrastructure (Avg: 32.2%).
IDA blend,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 41.4%) relative to coal power assets (Avg: 4.9%).
IDA only,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 35.2% of land) over standing forestry infrastructure (Avg: 28.9%).
IDA only,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 61.7%) relative to coal power assets (Avg: 2.7%).
IDA total,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 36.4% of land) over standing forestry infrastructure (Avg: 29.5%).
IDA total,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 51.5%) relative to coal power assets (Avg: 3.9%).
Iceland,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 19.3% of land) over standing forestry infrastructure (Avg: 0.4%).
Iceland,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 99.9%) relative to coal power assets (Avg: 0.0%).
India,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 60.4% of land) over standing forestry infrastructure (Avg: 23.1%).
India,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 70.0%) over renewable infrastructures (Avg: 16.5%).
Indonesia,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 54.7% forest cover) relative to agricultural developments (Avg: 23.0%).
Indonesia,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 42.4%) over renewable infrastructures (Avg: 17.4%).
"Iran, Islamic Rep.",Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 35.0% of land) over standing forestry infrastructure (Avg: 6.2%).
"Iran, Islamic Rep.",Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 6.8%) relative to coal power assets (Avg: 0.2%).
Iraq,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 20.8% of land) over standing forestry infrastructure (Avg: 1.9%).
Iraq,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 5.2%) relative to coal power assets (Avg: 0.0%).
Ireland,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 66.8% of land) over standing forestry infrastructure (Avg: 9.7%).
Ireland,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 30.3%) over renewable infrastructures (Avg: 14.9%).
Israel,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 25.4% of land) over standing forestry infrastructure (Avg: 6.9%).
Israel,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 55.4%) over renewable infrastructures (Avg: 1.1%).
Italy,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 55.3% of land) over standing forestry infrastructure (Avg: 29.5%).
Italy,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 26.1%) relative to coal power assets (Avg: 12.6%).
Jamaica,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 50.8% forest cover) relative to agricultural developments (Avg: 44.0%).
Jamaica,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 6.2%) relative to coal power assets (Avg: 0.0%).
Japan,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 68.4% forest cover) relative to agricultural developments (Avg: 15.7%).
Japan,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 25.2%) over renewable infrastructures (Avg: 11.8%).
Jordan,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 12.1% of land) over standing forestry infrastructure (Avg: 1.1%).
Jordan,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 3.0%) relative to coal power assets (Avg: 0.0%).
Kazakhstan,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 79.8% of land) over standing forestry infrastructure (Avg: 1.2%).
Kazakhstan,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 71.4%) over renewable infrastructures (Avg: 11.0%).
Kenya,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 46.6% of land) over standing forestry infrastructure (Avg: 6.6%).
Kenya,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 77.7%) relative to coal power assets (Avg: 0.0%).
Kiribati,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 45.4% of land) over standing forestry infrastructure (Avg: 1.5%).
Kiribati,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 6.9%) relative to coal power assets (Avg: 0.0%).
"Korea, Dem. People's Rep.",Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 52.9% forest cover) relative to agricultural developments (Avg: 20.5%).
"Korea, Dem. People's Rep.",Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 56.9%) relative to coal power assets (Avg: 39.7%).
"Korea, Rep.",Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 66.2% forest cover) relative to agricultural developments (Avg: 21.1%).
"Korea, Rep.",Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 36.4%) over renewable infrastructures (Avg: 2.6%).
Kuwait,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 8.0% of land) over standing forestry infrastructure (Avg: 0.3%).
Kuwait,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 0.0%) relative to coal power assets (Avg: 0.0%).
Kyrgyz Republic,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 55.1% of land) over standing forestry infrastructure (Avg: 6.4%).
Kyrgyz Republic,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 86.7%) relative to coal power assets (Avg: 7.5%).
Lao PDR,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 74.3% forest cover) relative to agricultural developments (Avg: 7.8%).
Lao PDR,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 80.1%) relative to coal power assets (Avg: 10.0%).
Late-demographic dividend,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 39.5% forest cover) relative to agricultural developments (Avg: 36.5%).
Late-demographic dividend,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 53.6%) over renewable infrastructures (Avg: 24.2%).
Latin America & Caribbean,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 49.3% forest cover) relative to agricultural developments (Avg: 32.3%).
Latin America & Caribbean,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 59.9%) relative to coal power assets (Avg: 4.2%).
Latin America & Caribbean (IDA & IBRD),Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 49.4% forest cover) relative to agricultural developments (Avg: 32.2%).
Latin America & Caribbean (IDA & IBRD),Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 61.5%) relative to coal power assets (Avg: 4.2%).
Latin America & Caribbean (excluding high income),Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 50.0% forest cover) relative to agricultural developments (Avg: 33.0%).
Latin America & Caribbean (excluding high income),Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 60.6%) relative to coal power assets (Avg: 3.8%).
Latvia,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 53.3% forest cover) relative to agricultural developments (Avg: 30.2%).
Latvia,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 62.6%) relative to coal power assets (Avg: 0.7%).
Least developed countries: UN classification,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 34.9% of land) over standing forestry infrastructure (Avg: 30.4%).
Least developed countries: UN classification,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 61.4%) relative to coal power assets (Avg: 1.8%).
Lebanon,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 61.1% of land) over standing forestry infrastructure (Avg: 13.6%).
Lebanon,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 8.2%) relative to coal power assets (Avg: 0.0%).
Lesotho,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 78.0% of land) over standing forestry infrastructure (Avg: 1.1%).
Lesotho,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 99.9%) relative to coal power assets (Avg: 0.0%).
Liberia,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 83.5% forest cover) relative to agricultural developments (Avg: 14.1%).
Liberia,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 31.4%) relative to coal power assets (Avg: 0.0%).
Libya,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 8.3% of land) over standing forestry infrastructure (Avg: 0.1%).
Libya,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 0.0%) relative to coal power assets (Avg: 0.0%).
Liechtenstein,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 46.4% of land) over standing forestry infrastructure (Avg: 41.7%).
Lithuania,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 47.8% of land) over standing forestry infrastructure (Avg: 33.6%).
Lithuania,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 23.3%) relative to coal power assets (Avg: 0.0%).
Low & middle income,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 39.4% of land) over standing forestry infrastructure (Avg: 29.3%).
Low & middle income,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 43.1%) over renewable infrastructures (Avg: 31.9%).
Lower middle income,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 40.3% of land) over standing forestry infrastructure (Avg: 31.3%).
Lower middle income,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 39.5%) over renewable infrastructures (Avg: 30.7%).
Luxembourg,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 50.7% of land) over standing forestry infrastructure (Avg: 34.3%).
Luxembourg,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 38.2%) relative to coal power assets (Avg: 7.0%).
Madagascar,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 65.1% of land) over standing forestry infrastructure (Avg: 22.1%).
Madagascar,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 54.4%) relative to coal power assets (Avg: 10.7%).
Malawi,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 47.9% of land) over standing forestry infrastructure (Avg: 30.0%).
Malawi,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 93.0%) relative to coal power assets (Avg: 0.0%).
Malaysia,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 59.5% forest cover) relative to agricultural developments (Avg: 18.5%).
Malaysia,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 26.0%) over renewable infrastructures (Avg: 11.3%).
Maldives,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 23.8% of land) over standing forestry infrastructure (Avg: 2.7%).
Maldives,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 1.4%) relative to coal power assets (Avg: 0.0%).
Mali,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 29.4% of land) over standing forestry infrastructure (Avg: 10.9%).
Mali,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 59.4%) relative to coal power assets (Avg: 0.0%).
Malta,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 37.5% of land) over standing forestry infrastructure (Avg: 1.2%).
Malta,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 6.4%) over renewable infrastructures (Avg: 2.6%).
Marshall Islands,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 52.2% forest cover) relative to agricultural developments (Avg: 44.4%).
Marshall Islands,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 1.0%) relative to coal power assets (Avg: 0.0%).
Mauritania,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 38.4% of land) over standing forestry infrastructure (Avg: 0.4%).
Mauritania,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 5.9%) relative to coal power assets (Avg: 0.0%).
Mauritius,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 50.5% of land) over standing forestry infrastructure (Avg: 19.8%).
Mauritius,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 26.5%) over renewable infrastructures (Avg: 24.5%).
Mexico,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 52.0% of land) over standing forestry infrastructure (Avg: 34.8%).
Mexico,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 18.0%) relative to coal power assets (Avg: 9.7%).
"Micronesia, Fed. Sts.",Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 91.5% forest cover) relative to agricultural developments (Avg: 7.5%).
"Micronesia, Fed. Sts.",Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 2.9%) relative to coal power assets (Avg: 0.0%).
Middle East & North Africa (IDA & IBRD),Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 27.7% of land) over standing forestry infrastructure (Avg: 2.6%).
Middle East & North Africa (IDA & IBRD),Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 18.4%) relative to coal power assets (Avg: 2.1%).
Middle East & North Africa (excluding high income),Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 27.7% of land) over standing forestry infrastructure (Avg: 2.6%).
Middle East & North Africa (excluding high income),Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 18.4%) relative to coal power assets (Avg: 2.0%).
Middle East and North Africa,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 32.5% of land) over standing forestry infrastructure (Avg: 2.2%).
Middle East and North Africa,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 11.7%) relative to coal power assets (Avg: 3.8%).
Middle income,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 40.0% of land) over standing forestry infrastructure (Avg: 30.3%).
Middle income,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 43.4%) over renewable infrastructures (Avg: 31.5%).
Moldova,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 74.5% of land) over standing forestry infrastructure (Avg: 11.0%).
Moldova,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 7.4%) over renewable infrastructures (Avg: 5.4%).
Mongolia,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 80.8% of land) over standing forestry infrastructure (Avg: 9.2%).
Mongolia,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 93.2%) over renewable infrastructures (Avg: 2.0%).
Montenegro,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 60.6% forest cover) relative to agricultural developments (Avg: 26.6%).
Montenegro,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 57.7%) relative to coal power assets (Avg: 42.5%).
Morocco,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 64.5% of land) over standing forestry infrastructure (Avg: 12.6%).
Morocco,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 52.8%) over renewable infrastructures (Avg: 12.0%).
Mozambique,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 50.7% forest cover) relative to agricultural developments (Avg: 46.8%).
Mozambique,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 91.6%) relative to coal power assets (Avg: 1.4%).
Myanmar,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 50.7% forest cover) relative to agricultural developments (Avg: 17.0%).
Myanmar,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 55.9%) relative to coal power assets (Avg: 5.1%).
Namibia,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 47.0% of land) over standing forestry infrastructure (Avg: 9.3%).
Namibia,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 90.3%) relative to coal power assets (Avg: 3.2%).
Nauru,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 19.7% of land) over standing forestry infrastructure (Avg: 0.0%).
Nauru,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 1.4%) relative to coal power assets (Avg: 0.0%).
Nepal,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 40.9% forest cover) relative to agricultural developments (Avg: 27.9%).
Nepal,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 95.7%) relative to coal power assets (Avg: 0.3%).
Netherlands,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 59.4% of land) over standing forestry infrastructure (Avg: 10.8%).
Netherlands,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 27.4%) over renewable infrastructures (Avg: 8.5%).
New Zealand,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 48.4% of land) over standing forestry infrastructure (Avg: 37.1%).
New Zealand,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 74.6%) relative to coal power assets (Avg: 5.3%).
Nicaragua,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 39.5% forest cover) relative to agricultural developments (Avg: 36.1%).
Nicaragua,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 42.9%) relative to coal power assets (Avg: 0.0%).
Niger,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 28.7% of land) over standing forestry infrastructure (Avg: 1.1%).
Niger,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 61.1%) over renewable infrastructures (Avg: 2.3%).
Nigeria,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 67.1% of land) over standing forestry infrastructure (Avg: 26.3%).
Nigeria,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 30.9%) relative to coal power assets (Avg: 0.0%).
North America,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 36.1% forest cover) relative to agricultural developments (Avg: 26.8%).
North America,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 42.5%) over renewable infrastructures (Avg: 20.0%).
North Macedonia,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 49.0% of land) over standing forestry infrastructure (Avg: 38.2%).
North Macedonia,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 73.4%) over renewable infrastructures (Avg: 20.1%).
Norway,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 33.2% forest cover) relative to agricultural developments (Avg: 2.7%).
