country,sector,winner,loser,rationale
Slovak Republic,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (5.6 MJ/$) and controlled environmental particulate exposure (21.9 µg/m³).
Slovenia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.3 MJ/$) and controlled environmental particulate exposure (20.6 µg/m³).
Solomon Islands,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (6.8 MJ/$) and controlled environmental particulate exposure (13.0 µg/m³).
Somalia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (8.4 MJ/$) and controlled environmental particulate exposure (23.5 µg/m³).
South Africa,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (7.8 MJ/$) and controlled environmental particulate exposure (24.1 µg/m³).
South Sudan,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.2 MJ/$) alongside elevated annual PM2.5 exposure (34.9 µg/m³).
Spain,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.1 MJ/$) and controlled environmental particulate exposure (13.6 µg/m³).
Sri Lanka,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.2 MJ/$) and controlled environmental particulate exposure (23.7 µg/m³).
St. Kitts and Nevis,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.8 MJ/$) and controlled environmental particulate exposure (8.3 µg/m³).
St. Lucia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.1 MJ/$) and controlled environmental particulate exposure (22.3 µg/m³).
St. Vincent and the Grenadines,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.6 MJ/$) and controlled environmental particulate exposure (22.6 µg/m³).
Sudan,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.0 MJ/$) and controlled environmental particulate exposure (54.8 µg/m³).
Suriname,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.6 MJ/$) and controlled environmental particulate exposure (28.0 µg/m³).
Sweden,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.5 MJ/$) and controlled environmental particulate exposure (8.5 µg/m³).
Switzerland,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.0 MJ/$) and controlled environmental particulate exposure (14.6 µg/m³).
Tajikistan,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (6.0 MJ/$) alongside elevated annual PM2.5 exposure (38.6 µg/m³).
Tanzania,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (9.2 MJ/$) and controlled environmental particulate exposure (20.8 µg/m³).
Thailand,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (5.0 MJ/$) and controlled environmental particulate exposure (37.2 µg/m³).
Timor-Leste,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (1.9 MJ/$) and controlled environmental particulate exposure (19.4 µg/m³).
Togo,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (10.3 MJ/$) alongside elevated annual PM2.5 exposure (53.3 µg/m³).
Tonga,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.4 MJ/$) and controlled environmental particulate exposure (12.5 µg/m³).
Trinidad and Tobago,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (19.6 MJ/$) and controlled environmental particulate exposure (23.7 µg/m³).
Tunisia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.8 MJ/$) and controlled environmental particulate exposure (24.3 µg/m³).
Turkiye,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.8 MJ/$) and controlled environmental particulate exposure (22.6 µg/m³).
Turkmenistan,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (14.1 MJ/$) and controlled environmental particulate exposure (20.6 µg/m³).
Tuvalu,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.5 MJ/$) and controlled environmental particulate exposure (5.7 µg/m³).
Uganda,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (11.0 MJ/$) alongside elevated annual PM2.5 exposure (32.1 µg/m³).
Ukraine,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (9.8 MJ/$) and controlled environmental particulate exposure (23.7 µg/m³).
United Arab Emirates,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.1 MJ/$) alongside elevated annual PM2.5 exposure (43.9 µg/m³).
United Kingdom,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.0 MJ/$) and controlled environmental particulate exposure (14.3 µg/m³).
United States,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (5.4 MJ/$) and controlled environmental particulate exposure (11.1 µg/m³).
Uruguay,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.7 MJ/$) and controlled environmental particulate exposure (11.6 µg/m³).
Uzbekistan,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (14.3 MJ/$) alongside elevated annual PM2.5 exposure (33.5 µg/m³).
Vanuatu,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.1 MJ/$) and controlled environmental particulate exposure (14.4 µg/m³).
"Venezuela, RB",Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (6.1 MJ/$) and controlled environmental particulate exposure (21.0 µg/m³).
Viet Nam,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.1 MJ/$) and controlled environmental particulate exposure (25.0 µg/m³).
"Yemen, Rep.",Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.8 MJ/$) and controlled environmental particulate exposure (41.6 µg/m³).
Zambia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (9.3 MJ/$) and controlled environmental particulate exposure (24.2 µg/m³).
Zimbabwe,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (15.8 MJ/$) and controlled environmental particulate exposure (20.6 µg/m³).
